2019-10-14 16:53:15.749 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-14 16:53:15.812 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42ms. Found 0 repository interfaces.
2019-10-14 16:53:16.888 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$9dd68037] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:53:16.905 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$528b7fd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:53:16.989 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:53:16.993 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@43045f9f' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:53:17.008 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$c2ab22e9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:53:17.025 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:53:21.285 [Socket Server Thread-01] INFO  com.osen.cloud.system.system_socket.service.SocketServer - socket server starting port: 8888
2019-10-14 16:53:21.592 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4f114b, org.springframework.security.web.context.SecurityContextPersistenceFilter@19fec3d6, org.springframework.security.web.header.HeaderWriterFilter@41e9f86, org.springframework.security.web.authentication.logout.LogoutFilter@24a0c58b, com.osen.cloud.system.web_security.config.JwtAuthenticationTokenFilter@310a7859, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@183fc2fa, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@b768a65, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4be490da, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@257f30f7, org.springframework.security.web.session.SessionManagementFilter@233f52f8, org.springframework.security.web.access.ExceptionTranslationFilter@1e3f86d5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2db86a7c]
2019-10-14 16:53:22.529 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-14 16:53:24.357 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-10-14 16:53:24.501 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-10-14 16:53:24.754 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - Started DeviceTest in 13.082 seconds (JVM running for 14.77)
2019-10-14 16:53:24.890 [nioEventLoopGroup-5-1] INFO  c.o.c.system.socket.handler.SocketServerHandler - 设备成功连接服务器：0c9d92fffe787de5-00000f58-00000001-e2f9328affa0dedd-a1434bfa
2019-10-14 16:53:25.252 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2019-10-14 16:53:25.254 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-14 16:54:45.518 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - Starting DeviceTest on PC-20190708MDDO with PID 7716 (started by Administrator in E:\gitworkspace\lampblack-admin\lampblack-system)
2019-10-14 16:54:45.520 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - No active profile set, falling back to default profiles: default
2019-10-14 16:54:48.837 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-14 16:54:48.845 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-14 16:54:48.950 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60ms. Found 0 repository interfaces.
2019-10-14 16:54:50.343 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$bb9d2132] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:54:50.356 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$22ef58f8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:54:50.491 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:54:50.496 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@26dc9bd5' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:54:50.515 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$e071c3e4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:54:50.533 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:54:55.413 [Socket Server Thread-01] INFO  com.osen.cloud.system.system_socket.service.SocketServer - socket server starting port: 8888
2019-10-14 16:54:55.546 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@601d6622, org.springframework.security.web.context.SecurityContextPersistenceFilter@41e9f86, org.springframework.security.web.header.HeaderWriterFilter@20440c6c, org.springframework.security.web.authentication.logout.LogoutFilter@7c950b3b, com.osen.cloud.system.web_security.config.JwtAuthenticationTokenFilter@124d26ba, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3c7b137a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@233f52f8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6bce313, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@76216830, org.springframework.security.web.session.SessionManagementFilter@560271a1, org.springframework.security.web.access.ExceptionTranslationFilter@6e9a0bea, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7b18658a]
2019-10-14 16:54:56.497 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-14 16:54:58.706 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-10-14 16:54:58.818 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-10-14 16:54:59.108 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - Started DeviceTest in 14.759 seconds (JVM running for 16.591)
2019-10-14 16:54:59.387 [nioEventLoopGroup-5-1] INFO  c.o.c.system.socket.handler.SocketServerHandler - 设备成功连接服务器：0c9d92fffe787de5-00001e24-00000001-e29cc97a88a24ffc-aee3effd
2019-10-14 16:54:59.547 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2019-10-14 16:54:59.550 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-14 16:55:19.771 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - Starting DeviceTest on PC-20190708MDDO with PID 9464 (started by Administrator in E:\gitworkspace\lampblack-admin\lampblack-system)
2019-10-14 16:55:19.775 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - No active profile set, falling back to default profiles: default
2019-10-14 16:55:23.096 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-14 16:55:23.101 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-14 16:55:23.168 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41ms. Found 0 repository interfaces.
2019-10-14 16:55:24.456 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$d68a40e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:55:24.477 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3ddc78a6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:55:24.591 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:55:24.594 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@227a47' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:55:24.606 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$fb5ee392] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:55:24.620 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 16:55:29.718 [Socket Server Thread-01] INFO  com.osen.cloud.system.system_socket.service.SocketServer - socket server starting port: 8888
2019-10-14 16:55:29.960 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4ef18604, org.springframework.security.web.context.SecurityContextPersistenceFilter@4d354a3e, org.springframework.security.web.header.HeaderWriterFilter@6424e613, org.springframework.security.web.authentication.logout.LogoutFilter@3d3c886f, com.osen.cloud.system.web_security.config.JwtAuthenticationTokenFilter@4a89ef44, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5b1c32e4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@604d28c6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7ec08115, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@372f0a99, org.springframework.security.web.session.SessionManagementFilter@8e99809, org.springframework.security.web.access.ExceptionTranslationFilter@68631b1d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@615efd1c]
2019-10-14 16:55:30.848 [nioEventLoopGroup-5-1] INFO  c.o.c.system.socket.handler.SocketServerHandler - 设备成功连接服务器：0c9d92fffe787de5-000024f8-00000001-586e02b198a2caea-1bc657cc
2019-10-14 16:55:30.996 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-14 16:55:33.414 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-10-14 16:55:33.591 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-10-14 16:55:33.879 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - Started DeviceTest in 15.38 seconds (JVM running for 17.175)
2019-10-14 16:55:34.340 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2019-10-14 16:55:34.342 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-14 16:56:41.940 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - Starting DeviceTest on PC-20190708MDDO with PID 7436 (started by Administrator in E:\gitworkspace\lampblack-admin\lampblack-system)
2019-10-14 16:56:41.953 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - No active profile set, falling back to default profiles: default
2019-10-14 16:56:44.957 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-10-14 16:56:44.963 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-14 16:56:45.034 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43ms. Found 0 repository interfaces.
2019-10-14 16:56:46.127 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$5dcdb3dd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
